sitename,factor,Site,"Aluminum, Dissolved","Calcium, Dissolved","Carbon, Dissolved Organic",Chloride,"Iron, Dissolved","Magnesium, Dissolved","Manganese, Dissolved","Nitrogen, Total",pH,"Phosphorus, Total",Temp,Turbidity,Row Labels,season,sitefinal
1,1,a,0.03,3.25,16.6,76.1,0.22,4.95,0.005,4.62,9.89,0.889,22.7,61.4,3,1,03
2,1,a,0.03,2.06,16.6,65.5,0.2,4.45,0.002,3.74,8.25,0.762,26.5,24,3,1,03
3,1,a,0.03,3.26,11,110,0.05,6.56,0.002,3.2,8.8,0.65,21.7,23.5,3,2,03
4,1,a,0.15,4.25,13.5,128,0.39,7.73,0.002,2.32,9.65,0.51,26.3,16.3,3,2,03
5,1,a,8.9,1.7,8.63,100,48.7,5.45,1.25,5.52,8.59,0.65,11.2,0,3,3,03
6,1,a,8.9,1.7,14.7,100,48.7,5.45,1.25,5.52,9.03,0.645,22.9,29.5,3,3,03
7,1,a,15.3,2.2,9.43,84.8,15.5,5.69,1.7,1.83,8.09,0.215,12.4,8,3,4,03
8,1,a,30.5,1.7,12.1,86.7,263,5.71,8.37,2.24,7.2,0.435,26.5,28.2,3,4,03
9,1,a,23.6,2,8.34,63.4,12.8,4.08,1.77,2.86,6.65,0.52,26.5,15.8,3,5,03
10,2,b,0.06,3.09,8.81,60.6,1.06,4.94,0.004,1.96,9.12,0.869,24.5,13.9,PD06_2015_6,1,06
11,2,b,0.02,1.71,8.81,53.5,0.25,3.95,0.002,1.56,7.93,0.226,26.7,14.4,PD06_2015_8,1,06
12,2,b,0.05,4.28,16,172,0.53,10.1,0.01,2.03,8.13,0.68,10.2,35.6,PD06_2016_10,2,06
13,2,b,0.03,4.26,22,155,0.23,8.95,0.02,5.93,8.13,0.98,27.6,88,PD06_2016_8,2,06
14,2,b,0.14,4.81,30.4,215,1.61,12.5,0.02,3.67,8.61,0.76,29.2,52.5,PD06_2016_9,2,06
15,2,b,18.7,1.5,13.1,66.6,192,4.6,0.52,1.05,8.2,0.156,10.7,1.3,PD06_2017_10,3,06
16,2,b,18.7,1.5,10.4,83.7,192,4.6,0.52,1.92,8.64,0.209,22.8,22.3,PD06_2017_8,3,06
17,2,b,35.3,1.6,14.5,40.3,254,3.73,5.54,2.1,7.79,0.231,12.1,3.8,PD06_2018_6,4,06
18,2,b,33.5,2.3,11.4,70.6,335,4.45,12.9,2.24,7.64,0.44,27.6,30.2,PD06_2018_8,4,06
