C+A1:BD68lass,Order,Family,Subfamily,Genus,"Taxa (species, agg, gr, type)",AugPD03 T1,AugPD03 T2,AugPD03 T3,AugPD06 T1,AugPD06 T2,AugPD06 T3.1,AugPD07 T1,AugPD37 T1,AugPD37 T2,AugPD37 T3,AugPD38 T1,AugPD38 T2,AugPD38 T3,AugPD47 T1,AugPD47 T2,AugPD47 T3,AugPD51 T1,AugPD51 T2,AugPD51 T3,AugPD52 T1,AugPD52 T2,AugPD52 T3,AugPD53 T1,AugPD63 T1,AugPD67 T1,AugPD67 T2,AugPD67 T3,AugPD70 T1,AugPD70 T2,AugPD70 T3,JulPD06 T2,JulPD06 T3,JulPD07 T1,JulPD37 T1 ,JulPD37 T2,JulPD37 T3,JulPD38 T1,JulPD38 T2,JulPD38 T3,JulPD47 T1,JulPD47 T2,JulPD47 T3,JulPD51 T1,JulPD51 T2,JulPD51 T3,JulPD52 T1,JulPD52 T2,JulPD52 T3,JulPD53 T1,JulPD53 T2,JulPD53 T3,JulPD63 T1,JulPD63 T2,JulPD63 T3,JulPD67 T1,JulPD67 T2,JulPD67 T3,JulPD67 T1 2,JulPD67 T2 2,JulPD67 T3 2,JulPD70 T1,JulPD70 T2,JulPD70 T3
Malacostracans,Amphipoda,Gammaridae,,,Amphipoda,21,30,8,33,9,1,3,64,54,5,25,24,30,11,3,6,35,16,18,38,48,110,9,371,5699,7055,2037,55,53,177,0,29,1,13,14,8,8,9,16,53,14,19,10,3,13,31,10,21,144,120,223,7,5,2,8,7,9,31,126,209,68,118,129
Insecta,Coleoptera,Dytiscidae,Agabinae,Agabus,Agabus spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Coleoptera,,,,Coleoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Coleoptera,,,,Coleoptera (adult),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Hemiptera,,,,Hemiptera (adult),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Nematoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Odonata,,,,Odonata (subclass = Anisoptera),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Oligochaeta,1,3,14,0,6,0,0,5,8,0,7,1,0,7,1,0,9,7,0,2,0,0,0,13,0,0,0,2,0,0,7,4,28,7,13,4,3,0,2,4,1,1,0,6,0,3,0,2,0,0,0,0,1,0,166,48,22,1,0,2,0,4,0
Cestoda,Pseudophyllidea,,,,Pseudophyllidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clitellata,Rhynchobdellida,,,,Rhynchobdellida? (jawless leech),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arachnida,Trombidiformes,,,,Trombidiformes (Hydrachnidia),0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Diptera,Chironomidae,,Polypelidium,Polypelidium bicrenatum,0,6,2,12,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Diptera,Chironomidae,,Procladius,Procladius spp.,3,1,0,50,14,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Diptera,Chironomidae,,Cryptochironomus,Cryptochironomus spp.,1,16,2,6,8,3,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Diptera,Chironomidae,,Tanytarsus,Tanytarsus mendax,0,0,0,26,1,0,0,0,2,3,1,2,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,4,1
