,S,N,H,1-Lambda,Conductivity,pH,"Carbon, Dissolved Organic","Nitrogen, Total",Ammonia as N,Sulfate,"Lead, Dissolved","Zinc, Dissolved","Nickel, Dissolved"
3A1,9,114,0.947798245,0.450861667,250,6.65,8.34,2.86,0.02,6.1,0.03,2.95,0.219
3A2,10,257,1.060934823,0.463916586,250,6.65,8.34,2.86,0.02,6.1,0.03,2.95,0.219
3A3,7,33,1.589034913,0.759469697,250,6.65,8.34,2.86,0.02,6.1,0.03,2.95,0.219
6A1,12,173,2.033626513,0.836469956,258,6.78,10.8,1.82,0.03,4,0.06,1.21,0.208
6A2,10,58,2.074064433,0.871748336,258,6.78,10.8,1.82,0.03,4,0.06,1.21,0.208
6A3,5,29,1.338989337,0.716748768,258,6.78,10.8,1.82,0.03,4,0.06,1.21,0.208
7A1,8,207,0.352982092,0.121617185,294,7.25,7.66,1.48,0.03,3.8,0.04,0.79,0.177
37A1,7,264,1.493347805,0.736490379,211,6.78,7.93,3.26,0.05,3,0.08,2.73,0.266
37A2,9,251,1.53655353,0.702501992,211,6.78,7.93,3.26,0.05,3,0.08,2.73,0.266
37A3,9,51,1.708795425,0.74745098,211,6.78,7.93,3.26,0.05,3,0.08,2.73,0.266
38A1,10,125,1.43798895,0.654580645,176,7.11,7.59,1.07,0.01,2.1,0.02,1.01,0.163
38A2,10,95,1.608587106,0.760358343,176,7.11,7.59,1.07,0.01,2.1,0.02,1.01,0.163
38A3,7,89,1.387295165,0.69433095,176,7.11,7.59,1.07,0.01,2.1,0.02,1.01,0.163
47A1,6,26,1.453108428,0.744615385,148,6.22,7.18,0.88,0.01,2.5,0.02,1.86,0.148
47A2,6,24,1.465858632,0.724637681,148,6.22,7.18,0.88,0.01,2.5,0.02,1.86,0.148
47A3,6,34,1.598894816,0.795008913,148,6.22,7.18,0.88,0.01,2.5,0.02,1.86,0.148
51A1,11,158,1.941356546,0.826654842,158,5.96,9.31,3.01,0.01,3.1,0.05,2.63,0.169
51A2,7,64,1.615170426,0.765873016,158,5.96,9.31,3.01,0.01,3.1,0.05,2.63,0.169
51A3,6,91,1.393239718,0.677655678,158,5.96,9.31,3.01,0.01,3.1,0.05,2.63,0.169
52A1,5,125,1.061626793,0.581935484,170,6.71,8.93,1.19,0.01,3.2,0.18,2.7,0.385
52A2,5,177,1.275487838,0.703389831,170,6.71,8.93,1.19,0.01,3.2,0.18,2.7,0.385
52A3,7,586,1.41173453,0.725118871,170,6.71,8.93,1.19,0.01,3.2,0.18,2.7,0.385
53A1,5,37,1.287634812,0.698198198,160,5.55,11,3.33,0.02,2.7,0.04,3.62,0.211
63A1,5,438,0.582710558,0.272321662,133,5.97,5.65,1.55,0.01,3,0.02,1.6,0.101
67A1,7,5852,0.148848816,0.051288474,192,6.53,4.43,1.08,0.01,5.4,0.01,2.69,0.103
67A2,6,7082,0.028110855,0.007602471,192,6.53,4.43,1.08,0.01,5.4,0.01,2.69,0.103
67A3,8,2067,0.098338968,0.028768117,192,6.53,4.43,1.08,0.01,5.4,0.01,2.69,0.103
70A1,5,297,1.091336372,0.58008008,132,6.52,13.5,2.55,0.01,1.8,0.03,1.26,0.369
70A2,6,330,0.85651488,0.465137699,132,6.52,13.5,2.55,0.01,1.8,0.03,1.26,0.369
70A3,6,437,1.193390967,0.672674406,132,6.52,13.5,2.55,0.01,1.8,0.03,1.26,0.369
6J1,5,31,1.228255862,0.649462366,258,6.78,10.8,1.82,0.03,4,0.06,1.21,0.208
6J2,10,58,1.683180638,0.720508167,258,6.78,10.8,1.82,0.03,4,0.06,1.21,0.208
7J1,5,38,0.883776878,0.443812233,294,7.25,7.66,1.48,0.03,3.8,0.04,0.79,0.177
37J1,4,26,1.185127904,0.673846154,211,6.78,7.93,3.26,0.05,3,0.08,2.73,0.266
37J2,9,96,1.582282313,0.725877193,211,6.78,7.93,3.26,0.05,3,0.08,2.73,0.266
37J3,10,74,1.752083509,0.767493521,211,6.78,7.93,3.26,0.05,3,0.08,2.73,0.266
38J1,6,60,1.178559153,0.557062147,176,7.11,7.59,1.07,0.01,2.1,0.02,1.01,0.163
38J2,7,209,1.066771303,0.585112256,176,7.11,7.59,1.07,0.01,2.1,0.02,1.01,0.163
38J3,8,69,1.248858146,0.595907928,176,7.11,7.59,1.07,0.01,2.1,0.02,1.01,0.163
47J1,7,136,1.523592898,0.744662309,148,6.22,7.18,0.88,0.01,2.5,0.02,1.86,0.148
47J2,6,38,1.348085119,0.705547653,148,6.22,7.18,0.88,0.01,2.5,0.02,1.86,0.148
47J3,8,322,0.803668707,0.348909657,148,6.22,7.18,0.88,0.01,2.5,0.02,1.86,0.148
51J1,5,77,1.428294518,0.723513329,158,5.96,9.31,3.01,0.01,3.1,0.05,2.63,0.169
51J2,5,97,0.934430376,0.448668385,158,5.96,9.31,3.01,0.01,3.1,0.05,2.63,0.169
51J3,5,84,1.284475931,0.673264487,158,5.96,9.31,3.01,0.01,3.1,0.05,2.63,0.169
52J1,7,98,1.497513216,0.742478435,170,6.71,8.93,1.19,0.01,3.2,0.18,2.7,0.385
52J2,5,75,1.179813053,0.618018018,170,6.71,8.93,1.19,0.01,3.2,0.18,2.7,0.385
52J3,7,138,1.487088379,0.736274199,170,6.71,8.93,1.19,0.01,3.2,0.18,2.7,0.385
53J1,9,194,0.858163612,0.418407136,160,5.55,11,3.33,0.02,2.7,0.04,3.62,0.211
53J2,4,170,0.66334751,0.424434389,160,5.55,11,3.33,0.02,2.7,0.04,3.62,0.211
53J3,8,310,0.834673362,0.434826182,160,5.55,11,3.33,0.02,2.7,0.04,3.62,0.211
63J1,7,63,1.329997208,0.62467998,133,5.97,5.65,1.55,0.01,3,0.02,1.6,0.101
63J2,6,33,1.440710678,0.71780303,133,5.97,5.65,1.55,0.01,3,0.02,1.6,0.101
63J3,10,59,1.528921059,0.673874927,133,5.97,5.65,1.55,0.01,3,0.02,1.6,0.101
67J1,8,198,0.710728544,0.347997744,192,6.53,4.43,1.08,0.01,5.4,0.01,2.69,0.103
67J2,7,1025,0.497019394,0.251263338,192,6.53,4.43,1.08,0.01,5.4,0.01,2.69,0.103
67J3,8,1190,0.529642593,0.304956499,192,6.53,4.43,1.08,0.01,5.4,0.01,2.69,0.103
70J1,8,126,1.203075662,0.611428571,132,6.52,13.5,2.55,0.01,1.8,0.03,1.26,0.369
70J2,12,277,1.745092843,0.758305865,132,6.52,13.5,2.55,0.01,1.8,0.03,1.26,0.369
70J3,8,384,0.942277425,0.525688098,132,6.52,13.5,2.55,0.01,1.8,0.03,1.26,0.369
